1,1,1:33:56.736,25
2,2,+11.987,18
3,13,+38.637,15
4,4,+48.052,12
5,6,+50.977,10
6,14,+54.502,8
7,5,+55.873,6
8,11,+1:12.647,4
9,8,+1:13.753,2
10,19,+1:29.774,1
11,17,+1:30.870,0
12,20,+1 vuelta,0
13,15,+1 vuelta,0
14,18,+1 vuelta,0
15,16,+1 vuelta,0
16,12,+1 vuelta,0
17,9,+2 vueltas,0
18,7,Retirado,0
19,3,Retirado,0
20,10,Retirado,0
